scenario,instance,solver,total-time,ground-time,solve-time,states
doors,p09,asp-opt-4,76.152,35.62199999999999,40.53,21
doors,p09,asp-1,273.01099999999997,29.891000000000005,243.11999999999998,21
doors,p09,fondsat-glucose,108.924396,26.73393029626459,78.067134,21
doors,p09,asp-opt-1,175.29999999999998,43.54000000000001,131.76,21
doors,p09,asp-4,76.056,24.236,51.82,21
doors,p09,asp-8,66.189,26.938999999999997,39.25,21
doors,p01,asp-opt-8,0.083,0.073,0.01,5
doors,p01,fondsat-minisat,0.37041,0.11274471087381244,0.105529,5
doors,p01,asp-opt-4,0.067,0.067,0.0,5
doors,p01,asp-1,0.082,0.082,0.0,5
doors,p01,fondsat-glucose,0.270426,0.1068021203391254,0.028829,5
doors,p01,asp-opt-1,0.07400000000000001,0.07400000000000001,0.0,5
doors,p01,asp-4,0.089,0.089,0.0,5
doors,p01,asp-8,0.07600000000000001,0.066,0.01,5
doors,p13,asp-opt-8,417.836,156.16600000000003,261.67,29
doors,p13,fondsat-minisat,23159.171904,101.97055945033208,23037.942817,29
doors,p13,asp-opt-4,451.569,154.989,296.58000000000004,29
doors,p13,asp-1,5394.795999999999,118.55600000000008,5276.240000000001,29
doors,p13,fondsat-glucose,1621.446402,100.9055254291743,1503.142698,29
doors,p13,asp-opt-1,2979.361,160.80099999999996,2818.5600000000004,29
doors,p13,asp-4,587.487,103.45700000000004,484.03,29
doors,p13,asp-8,405.843,102.293,303.54999999999995,29
doors,p05,asp-opt-8,5.569,4.489000000000001,1.08,13
doors,p05,fondsat-minisat,29.108877,5.264292990788817,23.292451,13
doors,p05,asp-opt-4,5.5920000000000005,4.342,1.25,13
doors,p05,asp-1,7.535999999999999,4.115999999999999,3.4199999999999995,13
doors,p05,fondsat-glucose,5.751283,3.1681735068559647,1.875131,13
doors,p05,asp-opt-1,8.254999999999999,5.904999999999999,2.3499999999999996,13
doors,p05,asp-4,4.119000000000001,2.9690000000000003,1.1500000000000001,13
doors,p05,asp-8,4.645,3.1950000000000003,1.4500000000000002,13
doors,p15,asp-opt-8,852.5,253.92999999999998,598.5699999999999,33
doors,p15,fondsat-minisat,79922.402469,157.73127740994096,79723.996229,33
doors,p15,asp-opt-4,991.2060000000001,260.76599999999996,730.4400000000002,33
doors,p15,asp-1,17886.247,231.74700000000138,17654.5,33
doors,p15,fondsat-glucose,4960.158381,180.9106712443754,4728.094411,33
doors,p15,asp-opt-1,7933.9000000000015,263.62999999999954,7670.27,33
doors,p15,asp-4,1253.7240000000002,182.51400000000004,1071.21,33
doors,p15,asp-8,1001.425,174.84500000000006,826.5799999999999,33
doors,p07,asp-opt-8,23.544,16.564,6.979999999999999,17
doors,p07,fondsat-minisat,205.260431,12.367483519483358,191.512273,17
doors,p07,asp-opt-4,22.470000000000002,14.879999999999999,7.59,17
doors,p07,asp-1,39.229,12.749000000000002,26.48,17
doors,p07,fondsat-glucose,24.092493,9.847493493463844,12.902442,17
doors,p07,asp-opt-1,35.965,18.005000000000003,17.96,17
doors,p07,asp-4,28.148999999999997,12.869,15.28,17
doors,p07,asp-8,17.459,9.849,7.609999999999999,17
doors,p11,asp-opt-8,168.18099999999998,78.45100000000001,89.73,25
doors,p11,fondsat-minisat,6434.547427,58.17889489978552,6368.476807,25
doors,p11,asp-opt-4,191.19800000000006,72.91799999999999,118.28000000000003,25
doors,p11,asp-1,1263.4260000000002,65.93599999999998,1197.49,25
doors,p11,fondsat-glucose,463.250713,60.88143415795639,391.830461,25
doors,p11,asp-opt-1,917.7149999999999,88.23500000000004,829.4799999999999,25
doors,p11,asp-4,219.42999999999998,53.61,165.82000000000002,25
doors,p11,asp-8,179.851,55.59099999999998,124.26,25
doors,p02,asp-opt-8,0.29200000000000004,0.272,0.02,7
doors,p02,fondsat-minisat,1.043817,0.43208326818421483,0.357765,7
doors,p02,asp-opt-4,0.36100000000000004,0.35100000000000003,0.01,7
doors,p02,asp-1,0.27699999999999997,0.257,0.02,7
doors,p02,fondsat-glucose,0.61438,0.34882618114352226,0.091019,7
doors,p02,asp-opt-1,0.338,0.328,0.01,7
doors,p02,asp-4,0.336,0.316,0.02,7
doors,p02,asp-8,0.29000000000000004,0.26,0.03,7
doors,p12,asp-opt-8,284.13499999999993,122.555,161.57999999999998,27
doors,p12,fondsat-minisat,12574.087191,71.49309931648895,12490.303443,27
doors,p12,asp-opt-4,312.292,111.26199999999999,201.03,27
doors,p12,asp-1,3341.2839999999997,93.61400000000008,3247.6699999999996,27
doors,p12,fondsat-glucose,837.605087,85.08718948205933,734.088796,27
doors,p12,asp-opt-1,1510.6629999999998,109.52299999999997,1401.1399999999999,27
doors,p12,asp-4,390.16700000000003,78.917,311.25,27
doors,p12,asp-8,294.444,74.06400000000001,220.38,27
doors,p10,asp-opt-8,121.43400000000001,59.974,61.46000000000001,23
doors,p10,fondsat-minisat,2611.623034,41.15584052493796,2565.177995,23
doors,p10,asp-opt-4,113.914,53.424,60.49000000000001,23
doors,p10,asp-1,632.0380000000001,48.36799999999998,583.67,23
doors,p10,fondsat-glucose,234.274866,39.740550798829645,184.477701,23
doors,p10,asp-opt-1,433.29,61.14000000000001,372.15,23
doors,p10,asp-4,146.47199999999998,42.062,104.41,23
doors,p10,asp-8,97.671,35.341,62.33,23
doors,p08,asp-opt-8,38.117,23.017000000000003,15.1,19
doors,p08,fondsat-minisat,521.614314,19.52428896073252,498.201183,19
doors,p08,asp-opt-4,38.468,22.338,16.13,19
doors,p08,asp-1,108.17199999999997,22.481999999999996,85.69,19
doors,p08,fondsat-glucose,58.73515,19.26074806507677,36.007014,19
doors,p08,asp-opt-1,102.03200000000001,29.331999999999997,72.7,19
doors,p08,asp-4,45.00799999999998,19.468,25.540000000000006,19
doors,p08,asp-8,31.823999999999998,15.973999999999998,15.85,19
doors,p06,asp-opt-8,11.835999999999999,8.315999999999999,3.5200000000000005,15
doors,p06,fondsat-minisat,56.612898,7.933871019631624,47.247517,15
doors,p06,asp-opt-4,13.070000000000004,9.47,3.6,15
doors,p06,asp-1,17.998,7.478000000000001,10.52,15
doors,p06,fondsat-glucose,12.183703,7.209948554169387,3.990084,15
doors,p06,asp-opt-1,17.112000000000002,9.742,7.37,15
doors,p06,asp-4,11.373999999999999,6.974000000000001,4.4,15
doors,p06,asp-8,9.586000000000002,6.375999999999999,3.21,15
doors,p03,asp-opt-8,0.9680000000000001,0.8780000000000001,0.09,9
doors,p03,fondsat-minisat,2.437688,1.0733154877088964,1.139755,9
doors,p03,asp-opt-4,1.0010000000000001,0.9210000000000002,0.08,9
doors,p03,asp-1,0.923,0.823,0.1,9
doors,p03,fondsat-glucose,1.484128,1.038542106281966,0.215876,9
doors,p03,asp-opt-1,0.6140000000000001,0.5640000000000002,0.05,9
doors,p03,asp-4,0.7210000000000001,0.6410000000000001,0.08,9
doors,p03,asp-8,0.867,0.7270000000000001,0.14,9
doors,p14,asp-opt-8,598.324,204.27399999999994,394.0500000000001,31
doors,p14,fondsat-minisat,42052.976785,122.78265442280099,41890.548628,31
