tool	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 
run set	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
faults-ipc08_46.yml	false	14399.043308	14401.696634603664	220.770304	-1	-1	TIMEOUT (false)	14400.046001	14401.003505559638	264.019968	-1	-1
faults-ipc08_49.yml	false	14399.814643	14400.85604683496	540.143616	-1	-1	TIMEOUT (false)	14401.029783	14402.190480116755	288.440320	-1	-1
faults-ipc08_50.yml	false	14398.651838	14399.729647973552	788.742144	-1	-1	TIMEOUT (false)	14401.028294	14402.032773109153	308.510720	-1	-1
faults-ipc08_52.yml	false	14399.912752	14400.929045615718	882.630656	-1	-1	TIMEOUT (false)	14401.027757	14402.151899749413	324.308992	-1	-1
faults-ipc08_53.yml	false	14399.583773	14400.717564634979	920.887296	-1	-1	TIMEOUT (false)	14401.026424	14402.09244029224	317.177856	-1	-1
faults-ipc08_54.yml	false	14398.655752	14401.467765400186	1134.567424	-1	-1	TIMEOUT (false)	14401.029619	14402.082820827141	347.074560	-1	-1
faults-ipc08_55.yml	false	14399.540775	14400.697004936635	1249.157120	-1	-1	TIMEOUT (false)	14401.026479	14402.17753443867	339.259392	-1	-1
first-responders-ipc08_105.yml	false	14399.37561	14400.44776599668	1269.129216	-1	-1	TIMEOUT (false)	14401.044997	14402.267697216943	510.242816	-1	-1
first-responders-ipc08_108.yml	false	14399.925617	14400.945119226351	3335.700480	-1	-1	TIMEOUT (false)	14401.195259	14402.155284054577	3014.045696	-1	-1
first-responders-ipc08_19.yml	false	14399.889662	14400.951338175684	1604.833280	-1	-1	TIMEOUT (false)	14401.047583	14402.039513414726	1174.491136	-1	-1
first-responders-ipc08_33.yml	false	14399.016029	14400.041354041547	2420.756480	-1	-1	TIMEOUT (false)	14401.049023	14402.010310452431	823.418880	-1	-1
first-responders-ipc08_34.yml	false	14396.918856	14399.678653154522	2331.881472	-1	-1	TIMEOUT (false)	14401.050639	14402.105320062488	852.037632	-1	-1
first-responders-ipc08_37.yml	TIMEOUT (false)	14400.895962	14402.012061476707	1204.420608	-1	-1	true	1127.465819	1127.6779621243477	207.630336	1127.495451	21
first-responders-ipc08_38.yml	TIMEOUT (false)	14400.114666	14401.134317902848	429.555712	-1	-1	true	670.908799	670.9497892409563	113.065984	670.756934	19
first-responders-ipc08_40.yml	false	14398.965664	14400.014486880973	2049.933312	-1	-1	TIMEOUT (false)	14401.074812	14402.071436440572	999.870464	-1	-1
first-responders-ipc08_47.yml	TIMEOUT (false)	14400.027673	14401.137384114787	1174.941696	-1	-1	true	2029.694318	2029.8286193050444	203.829248	2029.642114	20
first-responders-ipc08_49.yml	false	14399.07548	14400.215437047184	1522.909184	-1	-1	TIMEOUT (false)	14401.042451	14402.087976805866	383.160320	-1	-1
first-responders-ipc08_55.yml	false	14399.77862	14400.797280220315	888.635392	-1	-1	true	5277.951991	5278.3316139914095	260.460544	5278.150223	20
first-responders-ipc08_58.yml	false	14397.780359	14400.539323527366	1434.836992	-1	-1	TIMEOUT (false)	14401.037827	14402.116100717336	499.798016	-1	-1
first-responders-ipc08_60.yml	false	14399.412458	14400.435888288543	1899.008000	-1	-1	TIMEOUT (false)	14401.033416	14402.093005158007	403.419136	-1	-1
first-responders-ipc08_66.yml	false	14399.193461	14400.139262929559	2071.359488	-1	-1	TIMEOUT (false)	14401.051611	14402.02046485804	836.825088	-1	-1
first-responders-ipc08_68.yml	false	14399.100049	14400.20082362555	1924.952064	-1	-1	TIMEOUT (false)	14401.040517	14402.076282579452	551.763968	-1	-1
first-responders-ipc08_76.yml	TIMEOUT (false)	14401.259567	14402.05383323133	2447.794176	-1	-1	true	3098.551473	3098.7719931565225	389.132288	3098.568526	19
first-responders-ipc08_79.yml	false	14398.657838	14401.64839715138	2718.175232	-1	-1	TIMEOUT (false)	14401.086897	14402.063151633367	1239.379968	-1	-1
first-responders-ipc08_85.yml	TIMEOUT (false)	14400.937268	14401.948211634532	1536.466944	-1	-1	true	9092.092156	9092.767086235806	411.398144	9092.557858	18
first-responders-ipc08_95.yml	false	14397.135898	14399.893946424127	2234.413056	-1	-1	TIMEOUT (false)	14401.1014	14402.082599190995	1680.130048	-1	-1
first-responders-ipc08_97.yml	false	14399.631486	14400.631511349231	1319.153664	-1	-1	TIMEOUT (false)	14401.039292	14402.046033235267	392.925184	-1	-1
first-responders-ipc08_98.yml	false	14399.644003	14400.660328797996	2229.018624	-1	-1	TIMEOUT (false)	14401.138746	14402.130114981905	2074.202112	-1	-1
islands_57.yml	true	1138.74915	1138.8329089581966	2990.071808	1138.098935	12	OUT OF MEMORY (false)	619.450317	619.1889460943639	4096.000000	-1	-1
islands_58.yml	true	1429.246874	1429.5246743150055	3969.126400	1428.618252	12	OUT OF MEMORY (false)	525.916131	525.6715691760182	4096.000000	-1	-1
spiky-tireworld_11.yml	false	14398.834344	14399.906740993261	2865.598464	-1	-1	true	8908.821759	8910.588331595063	1154.809856	8910.385088	27
tireworld-truck_72.yml	false	14398.62785	14399.639870200306	1557.028864	-1	-1	true	5758.119812	5758.547286612913	428.990464	5758.367026	23
tireworld_15.yml	false	14398.678369	14399.7886762321	1613.000704	-1	-1	TIMEOUT (false)	14401.045409	14402.132656322792	640.823296	-1	-1
triangle-tireworld_04.yml	false	14399.319731	14400.485208773986	2780.663808	-1	-1	true	1330.656014	1330.7519572339952	235.626496	1330.554586	32
triangle-tireworld_05.yml	false	14397.226321	14400.548816291615	1770.180608	-1	-1	true	5560.596678	5561.052882440388	438.697984	5560.855857	40
triangle-tireworld_06.yml	false	14398.607895	14399.728460010141	1879.601152	-1	-1	TIMEOUT (false)	14401.043891	14402.091383825988	774.606848	-1	-1
triangle-tireworld_07.yml	false	14398.705716	14399.824794828892	1715.548160	-1	-1	TIMEOUT (false)	14401.043937	14402.181366281584	760.061952	-1	-1
triangle-tireworld_08.yml	false	14398.21911	14399.43945427239	2151.051264	-1	-1	TIMEOUT (false)	14401.069416	14402.131814194843	866.934784	-1	-1
triangle-tireworld_09.yml	false	14398.946851	14400.138129955158	1879.851008	-1	-1	TIMEOUT (false)	14401.008729	14402.149157747626	940.769280	-1	-1
triangle-tireworld_10.yml	false	14399.633014	14400.723172912374	2038.181888	-1	-1	TIMEOUT (false)	14401.088391	14402.10220324248	1163.214848	-1	-1
triangle-tireworld_11.yml	false	14399.196679	14400.205521252006	1868.910592	-1	-1	TIMEOUT (false)	14401.054428	14402.11617609486	1190.428672	-1	-1
triangle-tireworld_12.yml	false	14399.534053	14400.669657742605	2417.836032	-1	-1	TIMEOUT (false)	14401.073837	14403.84896488674	1378.934784	-1	-1
triangle-tireworld_13.yml	false	14396.691209	14400.133615002036	2249.166848	-1	-1	TIMEOUT (false)	14401.083945	14402.143043225631	1327.562752	-1	-1
triangle-tireworld_14.yml	false	14399.19498	14400.283965114504	1905.336320	-1	-1	TIMEOUT (false)	14401.091542	14402.096948888153	1537.343488	-1	-1
