,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
3683,tireworld-truck,p42,asp1,asp,True,True,41.57433541957289,127.26171875,False,False,17
3693,tireworld-truck,p36,asp1,asp,True,True,7.826811184175312,1.6484375,False,False,15
3703,tireworld-truck,p56,asp1,asp,True,True,230.8373746834696,136.7265625,False,False,18
3713,tireworld-truck,p63,asp1,asp,True,True,34.486449498683214,128.92578125,False,False,16
3723,tireworld-truck,p41,asp1,asp,True,True,16.660155373625457,0.91796875,False,False,15
3733,tireworld-truck,p49,asp1,asp,True,True,185.6629437226802,125.9921875,False,False,18
3743,tireworld-truck,p57,asp1,asp,True,True,440.6741486247629,145.4296875,False,False,18
3753,tireworld-truck,p24,asp1,asp,True,True,8.138715120963752,1.09375,False,False,14
3763,tireworld-truck,p07,asp1,asp,True,True,1.6676845261827111,1.41015625,False,False,9
3773,tireworld-truck,p09,asp1,asp,True,True,2.914009664207697,1.5078125,False,False,11
3783,tireworld-truck,p73,asp1,asp,True,True,1414.5324081340805,191.53125,False,False,21
3793,tireworld-truck,p75,asp1,asp,True,True,113.18144622445108,150.25390625,False,False,17
3803,tireworld-truck,p23,asp1,asp,True,True,6.673073520883918,1.12890625,False,False,14
3813,tireworld-truck,p12,asp1,asp,True,True,5.681264518760145,1.05859375,False,False,14
3823,tireworld-truck,p08,asp1,asp,True,True,2.422600611113012,0.9140625,False,False,11
3833,tireworld-truck,p15,asp1,asp,True,True,15.46169610042125,1.05859375,False,False,14
3843,tireworld-truck,p47,asp1,asp,True,True,139.53466202877462,103.44921875,False,False,18
3853,tireworld-truck,p64,asp1,asp,True,True,69.26797140017152,144.5,False,False,18
3863,tireworld-truck,p02,asp1,asp,True,True,1.1754139009863138,1.484375,False,False,9
3873,tireworld-truck,p68,asp1,asp,True,True,756.0416886853054,123.25390625,False,False,21
3883,tireworld-truck,p70,asp1,asp,True,True,315.51195323094726,132.21484375,False,False,19
3893,tireworld-truck,p65,asp1,asp,True,True,95.41312049515544,156.703125,False,False,18
