tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
faults-ipc08_55.yml	TIMEOUT (false)	14400.186856	14400.827903937548	428.228608	14400.256276097149	-1	false	14396.708585	14400.833737682551	187.015168	14400.261620990932	-1
first-responders-ipc08_110.yml	false	14397.042003	14401.367178868502	886.730752	14400.826960261911	-1	TIMEOUT (false)	14400.382531	14401.004121553153	400.535552	-1	-1
first-responders-ipc08_19.yml	false	6166.554805	6166.9205973520875	1873.719296	6166.481792572886	-1	TIMEOUT (false)	14400.121831	14400.732105810195	443.719680	14400.181789278984	-1
first-responders-ipc08_34.yml	TIMEOUT (false)	14400.139944	14400.743728235364	1720.909824	14400.1882019341	-1	false	14399.838599	14400.760672073811	376.061952	14400.187474355102	-1
first-responders-ipc08_37.yml	true	7904.094253	7904.456081137061	153.460736	7903.99338536337	21	TIMEOUT (false)	14400.173169	14400.78171859309	112.779264	14400.194812841713	-1
first-responders-ipc08_38.yml	true	9317.278292	9317.685195874423	135.127040	9317.1977102682	19	TIMEOUT (false)	14400.093445	14400.761677425355	100.700160	14400.193997886032	-1
first-responders-ipc08_49.yml	false	14399.827659	14400.753305226564	231.841792	14400.214702796191	-1	TIMEOUT (false)	14400.24483	14400.798549368978	132.608000	14400.216483268887	-1
first-responders-ipc08_55.yml	false	14396.236628	14400.711909163743	198.758400	14400.20399690792	-1	TIMEOUT (false)	14400.118525	14400.777521394193	121.794560	14400.213823094964	-1
first-responders-ipc08_68.yml	TIMEOUT (false)	14400.265977	14400.86443425715	476.270592	14400.316352777183	-1	false	14396.325027	14400.874102573842	195.768320	14400.322021137923	-1
first-responders-ipc08_74.yml	false	14396.179576	14400.805317174643	240.766976	14400.249782349914	-1	TIMEOUT (false)	14400.190699	14400.825316600502	144.281600	14400.25249613449	-1
first-responders-ipc08_75.yml	TIMEOUT (false)	14400.303711	14400.911271538585	290.021376	14400.350244801491	-1	true	4845.151784	4845.41259586066	152.031232	4844.971204414964	14
first-responders-ipc08_80.yml	TIMEOUT (false)	14400.337954	14400.905914191157	518.074368	14400.329793903977	-1	false	14396.568196	14400.92143803835	228.851712	14400.33731662482	-1
first-responders-ipc08_85.yml	false	14399.955467	14400.892373915762	302.456832	14400.31737653166	-1	TIMEOUT (false)	14400.245901	14400.857095617801	159.252480	14400.3168554008	-1
first-responders-ipc08_86.yml	false	14396.387683	14400.941965032369	396.922880	14400.390197973698	-1	TIMEOUT (false)	14400.333381	14400.976062729955	199.151616	14400.389011066407	-1
first-responders-ipc08_99.yml	OUT OF MEMORY (false)	8068.159865	8068.359974507242	4096.000000	-1	-1	TIMEOUT (false)	14400.458658	14401.003766484559	1471.021056	14400.558678086847	-1
miner_45.yml	OUT OF MEMORY (false)	845.524246	845.3990402296185	4096.000000	-1	-1	true	1307.170231	1307.2615799680352	2577.637376	1306.7979374825954	28
miner_51.yml	OUT OF MEMORY (false)	625.380646	625.183010302484	4096.000000	-1	-1	true	1235.270383	1235.356210988015	2796.515328	1234.911675464362	25
tireworld_15.yml	TIMEOUT (false)	14400.153264	14400.725034695119	445.706240	14400.195819795132	-1	false	14399.824836	14400.74098122865	252.735488	14400.196671057492	-1
triangle-tireworld_07.yml	false	14396.538063	14400.746629085392	964.001792	14400.23444077745	-1	TIMEOUT (false)	14400.155816	14400.777025718242	323.420160	14400.244777332991	-1
triangle-tireworld_15.yml	false	14396.902175	14401.201803151518	2738.655232	14400.656324956566	-1	TIMEOUT (false)	14400.455748	14401.004362616688	1012.170752	-1	-1
triangle-tireworld_16.yml	TIMEOUT (false)	14400.528433	14401.004114989191	3122.974720	-1	-1	false	14396.895615	14401.3073759377	1150.447616	14400.741836700588	-1
triangle-tireworld_20.yml	OUT OF MEMORY (false)	10078.004049	10078.225806705654	4096.000000	-1	-1	TIMEOUT (false)	14400.422503	14401.003908477724	1920.552960	-1	-1
triangle-tireworld_21.yml	OUT OF MEMORY (false)	3840.262145	3840.2172353602946	4096.000000	-1	-1	TIMEOUT (false)	14400.462787	14401.003445386887	2023.059456	-1	-1
triangle-tireworld_22.yml	OUT OF MEMORY (false)	3405.466301	3405.3828169815242	4096.000000	-1	-1	TIMEOUT (false)	14400.465802	14401.00450207293	2326.417408	-1	-1
triangle-tireworld_23.yml	OUT OF MEMORY (false)	3325.977492	3326.745776567608	4096.000000	-1	-1	TIMEOUT (false)	14400.497955	14401.004195850343	2742.525952	-1	-1
triangle-tireworld_24.yml	OUT OF MEMORY (false)	2982.120905	2982.0876306779683	4096.000000	-1	-1	false	14398.551311	14402.505551923066	3059.613696	14401.910060241818	-1
triangle-tireworld_25.yml	OUT OF MEMORY (false)	3892.61263	3893.5376615934074	4096.000000	-1	-1	TIMEOUT (false)	14400.562943	14401.00425073877	3184.820224	-1	-1
triangle-tireworld_26.yml	OUT OF MEMORY (false)	1209.582326	1209.4443633891642	4096.000000	-1	-1	TIMEOUT (false)	14400.540044	14401.004151385278	3366.047744	-1	-1
triangle-tireworld_27.yml	OUT OF MEMORY (false)	1266.947845	1266.7961807101965	4096.000000	-1	-1	TIMEOUT (false)	14400.620208	14401.004780940711	3719.589888	-1	-1
zenotravel_11.yml	OUT OF MEMORY (false)	4833.203322	4833.189704805613	4096.000000	-1	-1	TIMEOUT (false)	14400.501019	14401.003959935158	1785.311232	-1	-1
zenotravel_12.yml	OUT OF MEMORY (false)	1868.539161	1868.4411528296769	4096.000000	-1	-1	TIMEOUT (false)	14400.470812	14401.004258349538	1950.261248	-1	-1
zenotravel_13.yml	OUT OF MEMORY (false)	1686.968835	1686.8182261697948	4096.000000	-1	-1	TIMEOUT (false)	14400.404188	14401.004522461444	2124.378112	-1	-1
zenotravel_14.yml	OUT OF MEMORY (false)	1062.925408	1062.7738689482212	4096.000000	-1	-1	TIMEOUT (false)	14401.179212	14405.210609536618	2306.027520	-1	-1
zenotravel_15.yml	OUT OF MEMORY (false)	1271.778177	1271.6048734225333	4096.000000	-1	-1	TIMEOUT (false)	14400.485178	14401.004551816732	2518.323200	-1	-1
