,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
1815,islands,p48,CASP-Base,asp,True,True,19.020865318365395,0.94140625,False,False,10
1825,islands,p22,CASP-Base,asp,True,True,1.5710981171578169,0.93359375,False,False,6
1835,islands,p29,CASP-Base,asp,True,True,2.291652054525912,1.1796875,False,False,8
1845,islands,p25,CASP-Base,asp,True,True,1.0789884170517323,1.3203125,False,False,8
1855,islands,p44,CASP-Base,asp,True,True,14.025752727873623,0.90625,False,False,10
1865,islands,p58,CASP-Base,asp,True,True,72.56713326927274,404.6015625,False,False,12
1875,islands,p06,CASP-Base,asp,True,True,0.9658905835822224,0.92578125,False,False,5
1885,islands,p01,CASP-Base,asp,True,True,1.0399173656478524,1.20703125,False,False,5
1895,islands,p17,CASP-Base,asp,True,True,1.0224701520055532,1.1328125,False,False,6
1905,islands,p13,CASP-Base,asp,True,True,0.9712730264291168,0.71484375,False,False,6
1915,islands,p16,CASP-Base,asp,True,True,1.090089346282184,0.91796875,False,False,6
1925,islands,p14,CASP-Base,asp,True,True,1.0528111420571804,0.9296875,False,False,6
1935,islands,p03,CASP-Base,asp,True,True,0.960640792734921,1.015625,False,False,5
1945,islands,p18,CASP-Base,asp,True,True,1.19858468323946,1.7265625,False,False,6
1955,islands,p26,CASP-Base,asp,True,True,1.4417856391519308,0.96875,False,False,8
1965,islands,p30,CASP-Base,asp,True,True,2.6861800886690617,1.47265625,False,False,8
1975,islands,p27,CASP-Base,asp,True,True,1.6297836797311902,1.33984375,False,False,8
1985,islands,p52,CASP-Base,asp,True,True,19.869792852550745,1.140625,False,False,12
1995,islands,p42,CASP-Base,asp,True,True,8.365918692201376,1.0859375,False,False,10
2005,islands,p36,CASP-Base,asp,True,True,4.999519649893045,0.9765625,False,False,8
2015,islands,p56,CASP-Base,asp,True,True,41.11450020689517,301.76953125,False,False,12
2025,islands,p41,CASP-Base,asp,True,True,6.677924220450223,1.2109375,False,False,10
2035,islands,p49,CASP-Base,asp,True,True,3.3253968376666307,0.77734375,False,False,12
