,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
579,beam-walk,p02,prp-4h,prp,True,True,0.6191558509599417,0.83203125,False,False,17
581,beam-walk,p02,paladinus-4h,paladinus,True,True,0.3971628958825022,1.25390625,False,False,16
583,beam-walk,p02,glucose-4h,fondsat,True,True,1.883771195076406,1.20703125,False,False,16
585,beam-walk,p03,prp-4h,prp,True,True,1.0466616798657924,9.65234375,False,False,33
587,beam-walk,p03,paladinus-4h,paladinus,True,True,0.4337177178822458,1.08203125,False,False,32
589,beam-walk,p03,glucose-4h,fondsat,True,True,706.7219437481835,216.14453125,False,False,32
591,beam-walk,p04,prp-4h,prp,True,True,4.626160915009677,10.45703125,False,False,65
593,beam-walk,p04,paladinus-4h,paladinus,True,True,0.5198995261453092,1.2109375,False,False,64
596,beam-walk,p01,minisat-4h,fondsat,True,True,0.3147791977971792,1.74609375,False,False,8
597,beam-walk,p01,prp-4h,prp,True,True,0.1695151929743588,1.25,False,False,9
599,beam-walk,p01,paladinus-4h,paladinus,True,True,0.3925349561031908,1.27734375,False,False,8
601,beam-walk,p01,glucose-4h,fondsat,True,True,0.250823806039989,1.75390625,False,False,8
603,beam-walk,p06,prp-4h,prp,True,True,5.017717340961099,10.66796875,False,False,257
605,beam-walk,p06,paladinus-4h,paladinus,True,True,0.8992959740571678,0.890625,False,False,256
609,beam-walk,p08,prp-4h,prp,True,True,5.981948220171034,11.546875,False,False,1025
611,beam-walk,p08,paladinus-4h,paladinus,True,True,2.7941683251410723,86.4375,False,False,1024
615,beam-walk,p09,prp-4h,prp,True,True,9.82201364194043,13.27734375,False,False,2049
617,beam-walk,p09,paladinus-4h,paladinus,True,True,5.404688165988773,138.68359375,False,False,2048
621,beam-walk,p07,prp-4h,prp,True,True,5.459340017987415,10.9453125,False,False,513
623,beam-walk,p07,paladinus-4h,paladinus,True,True,1.4059991529211402,65.53515625,False,False,512
627,blocksworld-ipc08,p19,prp-4h,prp,True,True,0.822562312008813,0.859375,False,False,28
635,blocksworld-ipc08,p26,prp-4h,prp,True,True,2.2697125519625843,52.37890625,False,False,32
643,blocksworld-ipc08,p21,prp-4h,prp,True,True,2.758163176011294,48.26171875,False,False,40
651,blocksworld-ipc08,p28,prp-4h,prp,True,True,2.867967592785135,48.56640625,False,False,31
659,blocksworld-ipc08,p17,prp-4h,prp,True,True,0.927383280126378,1.1015625,False,False,27
666,blocksworld-ipc08,p10,minisat-4h,fondsat,True,True,10.841491599101571,1.34765625,False,False,11
667,blocksworld-ipc08,p10,prp-4h,prp,True,True,0.2334146320354193,0.75,False,False,12
670,blocksworld-ipc08,p10,paladinus-4h,paladinus,True,True,0.9957345728762448,1.2265625,False,False,11
673,blocksworld-ipc08,p10,glucose-4h,fondsat,True,True,12.765837657731026,1.05859375,False,False,11
675,blocksworld-ipc08,p11,prp-4h,prp,True,True,0.931751481955871,0.69921875,False,False,25
683,blocksworld-ipc08,p29,prp-4h,prp,True,True,2.556227657012641,50.26171875,False,False,39
691,blocksworld-ipc08,p16,prp-4h,prp,True,True,0.929476706078276,3.11328125,False,False,27
699,blocksworld-ipc08,p20,prp-4h,prp,True,True,0.9076750259846448,6.203125,False,False,23
707,blocksworld-ipc08,p18,prp-4h,prp,True,True,0.7848906591534615,0.80859375,False,False,19
713,blocksworld-ipc08,p18,glucose-4h,fondsat,True,True,4181.355611450039,1112.8046875,False,False,18
715,blocksworld-ipc08,p27,prp-4h,prp,True,True,2.9133076849393547,47.5859375,False,False,37
722,blocksworld-ipc08,p05,minisat-4h,fondsat,True,True,15.28265889082104,1.00390625,False,False,12
723,blocksworld-ipc08,p05,prp-4h,prp,True,True,0.2190911720972508,1.1640625,False,False,13
726,blocksworld-ipc08,p05,paladinus-4h,paladinus,True,True,2.3784419849980623,97.36328125,False,False,17
729,blocksworld-ipc08,p05,glucose-4h,fondsat,True,True,16.815682717133313,1.3671875,False,False,12
730,blocksworld-ipc08,p02,minisat-4h,fondsat,True,True,4.432602893095464,0.91015625,False,False,8
731,blocksworld-ipc08,p02,prp-4h,prp,True,True,0.2208243580535054,1.25,False,False,9
734,blocksworld-ipc08,p02,paladinus-4h,paladinus,True,True,0.9881001228932292,1.234375,False,False,9
737,blocksworld-ipc08,p02,glucose-4h,fondsat,True,True,4.89045017817989,1.0625,False,False,8
738,blocksworld-ipc08,p03,minisat-4h,fondsat,True,True,7.861829767934978,1.0859375,False,False,10
739,blocksworld-ipc08,p03,prp-4h,prp,True,True,0.2395886739250272,1.18359375,False,False,11
742,blocksworld-ipc08,p03,paladinus-4h,paladinus,True,True,1.1992373780813068,67.9765625,False,False,11
745,blocksworld-ipc08,p03,glucose-4h,fondsat,True,True,9.329728738870472,1.484375,False,False,10
746,blocksworld-ipc08,p04,minisat-4h,fondsat,True,True,55.17789551382885,20.53125,False,False,14
747,blocksworld-ipc08,p04,prp-4h,prp,True,True,0.2295024411287158,1.1015625,False,False,19
750,blocksworld-ipc08,p04,paladinus-4h,paladinus,True,True,5.296035321196541,188.8984375,False,False,17
753,blocksworld-ipc08,p04,glucose-4h,fondsat,True,True,30.70180702302605,22.1796875,False,False,14
755,blocksworld-ipc08,p22,prp-4h,prp,True,True,2.9564737109467387,47.81640625,False,False,43
763,blocksworld-ipc08,p25,prp-4h,prp,True,True,2.3768837999086827,53.4140625,False,False,46
771,blocksworld-ipc08,p13,prp-4h,prp,True,True,0.8408717219717801,1.1953125,False,False,23
779,blocksworld-ipc08,p14,prp-4h,prp,True,True,0.9057642170228064,1.21484375,False,False,19
785,blocksworld-ipc08,p14,glucose-4h,fondsat,True,True,4526.590034770314,1162.0390625,False,False,18
787,blocksworld-ipc08,p15,prp-4h,prp,True,True,0.8335239458829165,0.6953125,False,False,26
795,blocksworld-ipc08,p12,prp-4h,prp,True,True,0.7852858239784837,0.85546875,False,False,25
803,blocksworld-ipc08,p24,prp-4h,prp,True,True,2.8542294669896364,47.8671875,False,False,46
811,blocksworld-ipc08,p23,prp-4h,prp,True,True,2.715039419941604,48.31640625,False,False,43
818,blocksworld-ipc08,p01,minisat-4h,fondsat,True,True,6.055234865285456,1.42578125,False,False,9
819,blocksworld-ipc08,p01,prp-4h,prp,True,True,0.2505516118835658,3.4296875,False,False,10
822,blocksworld-ipc08,p01,paladinus-4h,paladinus,True,True,0.9167560262139888,1.2890625,False,False,11
825,blocksworld-ipc08,p01,glucose-4h,fondsat,True,True,6.945543561596423,1.7578125,False,False,9
826,blocksworld-ipc08,p06,minisat-4h,fondsat,True,True,11.65156905213371,1.63671875,False,False,11
827,blocksworld-ipc08,p06,prp-4h,prp,True,True,0.2145198888611048,1.30859375,False,False,12
830,blocksworld-ipc08,p06,paladinus-4h,paladinus,True,True,1.632992630824447,69.29296875,False,False,13
833,blocksworld-ipc08,p06,glucose-4h,fondsat,True,True,13.00834269123152,1.02734375,False,False,11
835,blocksworld-ipc08,p30,prp-4h,prp,True,True,3.0942192170768976,47.88671875,False,False,39
842,blocksworld-ipc08,p08,minisat-4h,fondsat,True,True,37.271187532227486,36.01171875,False,False,13
843,blocksworld-ipc08,p08,prp-4h,prp,True,True,0.216974554117769,1.0703125,False,False,14
