tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
blocksworld-ipc08_28.yml	OUT OF MEMORY (false)	2659.637736	2659.560732655227	4096.000000	-1	-1	TIMEOUT (false)	14400.416076	14401.003220040351	1495.552000	-1	-1	false	0.469466	0.5106726661324501	38.973440	-1	-1	false	0.442229	0.4546239133924246	39.014400	-1	-1
blocksworld-ipc08_29.yml	OUT OF MEMORY (false)	2784.9334	2784.803280806169	4096.000000	-1	-1	false	14398.350024	14402.619491351768	1327.071232	14402.040913537145	-1	false	0.44589	0.46723354794085026	38.998016	-1	-1	false	0.438686	0.445394154638052	39.018496	-1	-1
blocksworld-ipc08_30.yml	OUT OF MEMORY (false)	2934.647619	2935.2644035536796	4096.000000	-1	-1	TIMEOUT (false)	14400.417305	14401.004128484055	1330.978816	-1	-1	false	0.440043	0.4473017230629921	38.973440	-1	-1	false	0.459376	0.4673263803124428	38.981632	-1	-1
blocksworld-new_1.yml	true	0.709614	0.7192107159644365	47.349760	0.241863202303648	5	true	0.704487	0.7132933903485537	47.337472	0.17663666233420372	5	false	0.454777	0.46178296208381653	39.006208	-1	-1	false	0.439026	0.44608112052083015	38.998016	-1	-1
blocksworld-new_10.yml	TIMEOUT (false)	14400.516499	14401.004980828613	2185.965568	-1	-1	TIMEOUT (false)	14400.412145	14401.003845922649	489.324544	-1	-1	false	0.449972	0.46693265065550804	39.165952	-1	-1	false	0.432031	0.439818425104022	39.161856	-1	-1
blocksworld-new_11.yml	TIMEOUT (false)	14400.532716	14401.004660891369	2844.348416	-1	-1	TIMEOUT (false)	14400.388177	14401.004261622205	623.173632	-1	-1	false	0.457562	0.46509897895157337	39.030784	-1	-1	false	0.427286	0.4351377822458744	38.985728	-1	-1
blocksworld-new_12.yml	TIMEOUT (false)	14400.521993	14401.004379790276	3242.926080	-1	-1	TIMEOUT (false)	14400.49714	14401.006629850715	796.934144	-1	-1	false	0.449975	0.45617525465786457	39.014400	-1	-1	false	0.455495	0.4712588954716921	39.149568	-1	-1
blocksworld-new_13.yml	OUT OF MEMORY (false)	6439.025796	6439.161885492504	4096.000000	-1	-1	TIMEOUT (false)	14400.571378	14401.005427915603	987.496448	-1	-1	false	0.445202	0.4581672493368387	38.998016	-1	-1	false	0.464993	0.4721663035452366	39.006208	-1	-1
blocksworld-new_14.yml	OUT OF MEMORY (false)	4083.479923	4083.4402816612273	4096.000000	-1	-1	TIMEOUT (false)	14401.112778	14402.011501122266	1210.241024	-1	-1	false	0.427101	0.4553514365106821	38.985728	-1	-1	false	0.447196	0.45674555376172066	39.002112	-1	-1
blocksworld-new_15.yml	OUT OF MEMORY (false)	1542.681834	1542.9586184248328	4096.000000	-1	-1	TIMEOUT (false)	14400.462245	14401.004611652344	1454.534656	-1	-1	false	0.454794	0.46782687678933144	38.989824	-1	-1	false	0.4531	0.468591783195734	39.145472	-1	-1
