instance,sim,num_states,num_threads,cpu_time,time,solve_time,choices,conflicts,restarts,variables,constraints
2,63,31,4,55.283,14.427,13.63,254584,72048,128,72417,379534
3,20,10,6,19.67,4.11,3.14,123045,13780,48,91963,368948
4,25,13,6,2.929,1.065,0.39,28773,1743,8,64635,281998
1,1,9,2,2.784,1.822,0.97,5611,2327,8,48290,292269
4,66,14,10,6.414,1.595,0.8,49576,3011,12,74042,325498
1,32,9,2,1.478,1.173,0.32,1849,666,2,48290,292269
1,78,8,4,2.142,1.031,0.38,3733,1527,8,38592,228936
1,47,9,1,1.327,1.328,0.4,1864,850,5,48410,293019
2,36,31,6,110.413,19.397,18.61,1050925,130839,238,72417,379534
2,84,30,8,44.777,7.036,6.37,236015,36689,88,67907,352896
1,46,9,8,3.99,1.207,0.47,20525,1947,9,48290,292269
1,47,9,2,2.501,1.682,0.83,3853,1864,6,48290,292269
4,81,14,8,5.402,1.45,0.65,59683,3173,15,74042,325498
3,49,9,4,6.145,2.202,1.33,12414,5369,18,75987,301424
2,61,30,1,63.614,63.615,62.77,926909,142955,430,67889,352953
4,88,13,6,2.467,0.99,0.31,13007,1735,9,64635,281998
3,17,9,8,10.689,2.227,1.42,27641,7624,26,75987,301424
3,48,9,4,7.211,2.467,1.6,34789,6282,21,75987,301424
4,84,14,1,1.953,1.953,0.95,6875,2910,16,74857,329151
2,89,30,10,61.723,9.173,8.5,304346,53204,104,67907,352896
3,35,9,1,3.867,3.867,2.9,9306,5450,29,76110,307683
2,77,31,6,37.142,7.179,6.37,496421,50990,119,72417,379534
4,26,14,4,3.671,1.572,0.71,46014,4615,20,74042,325498
3,26,9,8,10.542,2.225,1.4,24180,7628,25,75987,301424
2,47,31,4,37.075,9.897,9.11,258831,57955,102,72417,379534
1,3,8,4,2.299,1.072,0.42,4390,1591,8,38592,228936
1,22,9,2,2.697,1.805,0.91,10961,2319,13,48290,292269
1,30,9,6,4.669,1.467,0.66,17667,3131,17,48290,292269
2,44,31,1,47.379,47.379,46.48,840718,108940,317,72399,379593
3,61,10,4,16.534,4.964,3.89,91922,17573,52,91963,368948
2,69,31,2,38.607,19.739,18.95,731912,80149,211,72417,379534
2,95,30,4,50.272,13.132,12.4,253859,66622,104,67907,352896
1,94,9,8,5.376,1.436,0.68,20204,3306,12,48290,292269
1,77,8,4,2.316,1.077,0.42,4020,1596,8,38592,228936
3,51,9,2,2.8,1.844,0.98,6765,3514,14,75987,301424
3,56,10,10,18.881,3.578,2.6,28366,11183,31,91963,368948
2,68,30,10,48.258,7.29,6.62,426009,41303,94,67907,352896
2,26,31,4,38.82,10.333,9.53,208944,58155,95,72417,379534
2,84,31,4,32.167,8.648,7.86,301128,51306,99,72417,379534
2,96,31,6,41.309,7.7,6.92,492723,55223,137,72417,379534
4,58,13,2,1.6,1.18,0.44,12486,2241,9,64635,281998
1,73,9,8,5.501,1.452,0.71,19347,3249,15,48290,292269
3,12,10,6,22.748,4.65,3.64,106644,15429,49,91963,368948
4,9,14,1,1.93,1.93,0.96,6875,2910,16,74857,329151
4,24,13,10,3.693,1.118,0.44,21334,2392,9,64635,281998
3,56,9,4,6.453,2.28,1.41,13000,5531,20,75987,301424
2,58,30,4,42.759,11.267,10.54,232828,61281,102,67907,352896
1,92,8,2,1.595,1.149,0.46,2369,1118,5,38592,228936
1,50,8,2,1.791,1.263,0.54,3109,1524,7,38592,228936
3,6,10,6,17.057,3.681,2.7,175951,12597,46,91963,368948
3,23,9,10,12.904,2.536,1.73,48577,8241,28,75987,301424
4,49,14,8,7.776,1.823,1.02,170708,3519,17,74042,325498
3,72,9,10,11.315,2.299,1.5,19399,6409,22,75987,301424
2,2,30,8,48.362,7.617,6.94,282598,40546,79,67907,352896
2,49,30,1,64.219,64.221,63.38,926909,142955,430,67889,352953
3,51,10,10,24.573,4.299,3.31,51578,13228,42,91963,368948
4,16,14,1,1.902,1.902,0.94,6875,2910,16,74857,329151
1,85,9,10,3.631,1.187,0.43,8244,1636,7,48290,292269
4,32,13,2,1.519,1.144,0.39,6048,1953,8,64635,281998
4,85,13,1,2.038,2.038,1.18,41437,3744,18,65381,285370
2,76,30,2,40.67,20.717,19.98,638906,86794,239,67907,352896
2,57,31,4,35.743,9.546,8.77,308626,56641,100,72417,379534
4,35,13,2,1.583,1.169,0.43,9820,2570,14,64635,281998
4,40,14,4,3.036,1.414,0.55,26148,2840,12,74042,325498
2,53,31,4,32.964,8.854,8.07,235399,45599,95,72417,379534
4,75,14,10,5.091,1.404,0.61,52377,2809,10,74042,325498
3,65,10,2,7.718,4.407,3.34,21857,13095,31,91963,368948
2,81,31,8,42.519,6.727,6,529308,37051,101,72417,379534
3,33,10,10,31.578,5.277,4.3,74607,15395,41,91963,368948
1,64,9,6,5.23,1.576,0.75,27629,3250,16,48290,292269
1,29,9,1,1.346,1.346,0.39,1864,850,5,48410,293019
3,1,9,8,9.434,2.067,1.25,65554,7036,26,75987,301424
1,39,8,4,2.005,0.993,0.35,3960,1502,8,38592,228936
2,3,31,4,35.856,9.559,8.78,261297,59345,104,72417,379534
2,65,30,10,53.538,8.116,7.44,269022,45078,95,67907,352896
4,47,14,6,3.823,1.306,0.52,90314,4005,23,74042,325498
3,71,10,2,7.66,4.381,3.31,22667,12441,33,91963,368948
2,32,30,6,52.482,9.504,8.77,481288,63099,141,67907,352896
4,30,14,8,4.773,1.376,0.58,59498,3381,13,74042,325498
1,91,8,1,1.388,1.388,0.63,2428,1294,11,38692,229592
4,58,14,8,3.627,1.222,0.43,48108,2270,9,74042,325498
2,36,30,4,42.079,11.106,10.37,249269,63727,103,67907,352896
4,65,14,1,1.912,1.912,0.95,6875,2910,16,74857,329151
3,50,10,4,19.054,5.588,4.51,279220,14580,39,91963,368948
4,29,13,8,3.201,1.069,0.37,16400,2023,9,64635,281998
4,94,14,4,2.759,1.346,0.48,23780,2268,10,74042,325498
4,5,14,2,2.165,1.532,0.65,29576,4289,15,74042,325498
3,62,10,6,19.229,4.044,3.06,39603,14191,43,91963,368948
1,16,9,1,1.315,1.315,0.4,1864,850,5,48410,293019
2,75,31,4,46.046,12.122,11.32,299402,62097,105,72417,379534
1,73,9,10,3.675,1.176,0.44,20472,1795,7,48290,292269
3,8,9,8,10.635,2.216,1.41,21349,7443,25,75987,301424
1,21,9,10,4.486,1.287,0.55,26553,1959,8,48290,292269
2,73,30,4,44.907,11.782,11.06,220511,62009,94,67907,352896
3,6,9,4,7.75,2.595,1.73,53657,6125,25,75987,301424
2,3,30,2,51.981,26.392,25.63,812844,113549,317,67907,352896
3,77,10,4,23.853,6.79,5.72,109330,16144,51,91963,368948
1,21,9,1,1.333,1.338,0.4,1864,850,5,48410,293019
3,66,9,10,9.137,2.02,1.21,19540,5649,20,75987,301424
2,47,30,8,57.509,8.741,8.07,586742,47239,97,67907,352896
2,4,30,1,63.924,63.923,63.08,926909,142955,430,67889,352953
1,37,9,4,1.766,1.046,0.25,3134,866,5,48290,292269
4,7,14,6,3.048,1.17,0.38,33123,2478,11,74042,325498
4,50,13,4,2.645,1.228,0.48,5885,1998,10,64635,281998
4,9,13,10,3.322,1.083,0.4,18520,1637,6,64635,281998
4,44,13,1,2.04,2.04,1.18,41437,3744,18,65381,285370
1,82,9,8,6.099,1.526,0.78,14026,3112,15,48290,292269
3,2,10,1,9.229,9.229,8.02,33761,13471,62,92122,376763
2,2,30,10,51.506,7.785,7.11,329301,45589,98,67907,352896
2,81,30,4,40.468,10.71,9.96,198825,59535,98,67907,352896
3,58,10,2,9.489,5.29,4.23,28949,13688,32,91963,368948
3,61,9,10,8.315,1.907,1.11,14510,5632,19,75987,301424
3,10,9,2,4.615,2.752,1.89,25049,6715,28,75987,301424
2,73,30,6,52.778,9.581,8.83,438468,66393,160,67907,352896
2,54,30,10,56.823,8.576,7.88,219472,45340,83,67907,352896
1,19,8,4,2.29,1.059,0.42,4376,1736,10,38592,228936
4,53,13,6,2.631,1.024,0.33,19195,2375,13,64635,281998
3,80,9,2,4.509,2.698,1.83,82645,9523,36,75987,301424
4,13,13,4,2.397,1.164,0.42,5631,1725,9,64635,281998
2,29,31,10,49.119,7.599,6.85,276534,42058,81,72417,379534
4,79,14,1,1.934,1.934,0.95,6875,2910,16,74857,329151
1,52,9,1,1.321,1.321,0.39,1864,850,5,48410,293019
4,89,14,2,1.455,1.168,0.31,12027,2095,6,74042,325498
3,20,10,2,6.994,4.035,2.99,19102,8981,28,91963,368948
4,48,14,8,6.195,1.594,0.8,44317,3639,17,74042,325498
1,80,9,1,1.328,1.328,0.41,1864,850,5,48410,293019
4,66,13,10,3.259,1.062,0.39,9832,1741,7,64635,281998
3,51,9,1,3.875,3.88,2.87,9306,5450,29,76110,307683
1,32,8,4,1.961,0.979,0.34,3891,1427,8,38592,228936
