scenario,instance,solver,total-time,ground-time,solve-time,iteration
acrobatics,p05,fondsat-minisat,1.406798,0.934046,0.472752,5
acrobatics,p05,fondsat-minisat,2.034568,1.217808,0.81676,6
acrobatics,p05,fondsat-minisat,2.2530590000000004,1.364,0.889059,7
acrobatics,p05,fondsat-minisat,4.352013,1.685567,2.666446,8
acrobatics,p05,fondsat-minisat,4.292958,1.492567,2.800391,9
acrobatics,p05,fondsat-minisat,8.335446,1.503611,6.831835,10
acrobatics,p05,fondsat-minisat,10.042338,3.114305,6.928033,11
acrobatics,p05,fondsat-minisat,10.908894,2.923676,7.985218,12
acrobatics,p05,fondsat-minisat,38.605695,3.451622,35.154073,13
acrobatics,p05,fondsat-minisat,50.647624,2.599528,48.048096,14
acrobatics,p05,fondsat-minisat,51.1109,4.20638,46.90452,15
acrobatics,p05,fondsat-minisat,55.042343,5.504716,49.537627,16
acrobatics,p05,fondsat-minisat,240.004927,6.361369,233.643558,17
acrobatics,p05,fondsat-minisat,173.634652,6.841051,166.793601,18
acrobatics,p05,fondsat-minisat,864.79292,7.832597,856.960323,19
acrobatics,p05,fondsat-minisat,313.82439700000003,8.398815,305.425582,20
acrobatics,p05,fondsat-minisat,219.176651,9.050313,210.126338,21
acrobatics,p05,fondsat-minisat,258.197946,6.330141,251.867805,22
acrobatics,p05,fondsat-minisat,549.243428,12.433106,536.810322,23
acrobatics,p05,fondsat-minisat,874.010767,9.253709,864.757058,24
acrobatics,p05,fondsat-minisat,702.126672,13.059074,689.067598,25
acrobatics,p05,fondsat-minisat,829.343701,13.884574,815.459127,26
acrobatics,p05,fondsat-minisat,1082.4424179999999,15.255829,1067.186589,27
acrobatics,p05,fondsat-minisat,2207.545804,16.249939,2191.295865,28
acrobatics,p05,fondsat-minisat,1842.422881,14.486687,1827.936194,29
acrobatics,p05,fondsat-minisat,3865.2395650000003,16.645269,3848.594296,30
acrobatics,p05,fondsat-minisat,3457.36047,13.504556,3443.855914,31
